Spot,Strike,T,Vol,Delta,Theta,Vega,MarketPrice
237.89870595739905,254.692175800401,0.10776061126243,0.3719167948053173,0.32508686129243314,-52.0867082939431,28.110532271497867,5.156464459686568
234.2281341185948,281.8206761260407,0.35141232677329587,0.39595218200235793,0.2756382645927493,-28.943307023766657,46.38341170142768,8.764197727275576
262.6241971145754,264.41110407175125,0.05655311406905751,0.2722752408271603,0.48855939759331835,-66.05465238132699,24.90545251478652,6.413119015328583
265.38207137251936,252.74625131161005,0.09415261766418191,0.3625244021448342,0.7041931736939581,-62.51931446813906,28.131706247703754,19.715184860385072
257.20941991517344,238.73950486185853,0.051703410329242194,0.3698009575963999,0.8312171970127104,-62.31782041528574,14.731806675344558,20.948245728296015
239.71965736033766,269.7343939005639,0.2553310856083291,0.37484246902175117,0.3225023244841633,-35.33279517290427,43.4584955228243,8.267281559023496
246.96521299860274,249.98006707981833,0.14489930957568292,0.3065664784098824,0.5065645265269785,-45.37774055108804,37.499044974047244,11.583558337207334
273.98862480012224,273.0551957964282,0.49739632425257563,0.39193725310731964,0.595039058173103,-35.974384187795195,74.89127653751608,33.78590312874955
281.3270892180569,260.1842275432388,0.3797392084955557,0.3548399807902011,0.7100266440443579,-35.780414610258674,59.340010880571235,39.12589439022011
245.6451836978487,250.05367925239247,0.3705623869368374,0.30461506010642714,0.5385215310266832,-30.107707870850987,59.376973796430846,18.03771481222365
236.29276526829187,237.5322137766486,0.056563621310824014,0.3057495317589839,0.5013186674275893,-66.18724955690612,22.41954121410985,7.019105087750118
250.69952776253734,277.4244849304509,0.05719537366152558,0.3410282461781812,0.12178143255054497,-37.596085300695506,12.118687512737258,1.0848408130184657
282.64100764230477,281.4996981533434,0.29513693090571463,0.2546430856100663,0.5812489651487408,-33.17972787979494,59.98234208885462,17.934197378265097
240.80747702192983,280.29484890095813,0.42959017957970086,0.4045616491926773,0.3597750038614362,-31.449905435283572,59.035283853751785,13.276402883003767
266.8025237032931,269.6536988120012,0.016806856988008784,0.30635737474683555,0.41035810990943583,-127.89627424570513,13.449028688592474,2.8957965659243716
252.8814237549189,246.71381840369597,0.08530128465878971,0.3910724152475511,0.621959187964674,-71.45903797997846,28.07708222143281,14.780755219461597
266.7216855959368,277.37593105323515,0.25429522725840803,0.2387633925347306,0.43663566667672393,-30.209501497188498,52.980115246562036,9.926676718252137
276.52165520876855,277.13742606228317,0.33158227794496653,0.32544706100709175,0.5676127938273805,-37.44683293205823,62.609057218659245,22.321096458295088
237.74464640438126,280.37386464318865,0.09006658035636647,0.29691384377782415,0.03956209034518454,-10.498183400596517,6.093699655926759,0.5100515050085379
260.69100189698014,253.10135710406286,0.20820461282262873,0.3142073777939109,0.6369713513669253,-40.96487238458796,44.629673965093524,21.076807675611654
239.1997320488368,282.0689384629951,0.4990790155556062,0.23831814027443896,0.22760317260844082,-14.656153322901194,51.01078592066901,4.911745478851046
283.77401361982277,275.80872092667556,0.3543280536091565,0.2300066081154096,0.6575563944484113,-28.353487618909305,62.06210021536958,22.047260591080992
276.4123801510385,260.5963364832836,0.1357947159741708,0.37380848337972417,0.7074350286373283,-56.70831703882015,35.01031370001265,24.443526486078472
242.34975046245117,245.3630862462381,0.14511554176231098,0.2966625424393503,0.5045337299743231,-43.241089021037766,36.828290560805065,10.491073709097913
